text,aspect,sentiment
jalanan sepanjang lapangan golf bersih hijau,fasilitas,positif
prokes sarapan jumlah orang tidak_diterapkan,pelayanan,negatif
hotel banyak aktivitas fasilitas bisa membangkitkan mood liburan keluarga,fasilitas,positif
buah sudah layu alias peot peot,sarapan,negatif
shower kolam_renang jamuran tidak_terawat,fasilitas,negatif
harga lebih_mahal hotel bintang_lima sekitarnya,harga,negatif
kamar_mandi lengkap hair_dryer,kamar,positif
harga offline lebih_mahal,harga,negatif
tidak_tertera nama guest house,fasilitas,negatif
pelayan resto tidak_ramah,pelayanan,negatif
datang sambut hangat,pelayanan,positif
kaca jendela tidak_rapat,kamar,negatif
tidak_profesional,pelayanan,negatif
makanan minuman disajikan cukup enak,sarapan,positif
kamar rapi desain interior menarik modern nyaman istirahat,kamar,positif
wifi terputus,fasilitas,negatif
harga tidak_ada termasuk sarapan,harga,negatif
tidak_sesuai sarapan harga lima_belas_ribu porsi,harga,negatif
makanan variasi enak masak tradisional jamu western,sarapan,positif
jaringan wifi minus tidak_layak,fasilitas,negatif
tidak_bisa akses kemana_mana,lokasi,negatif
pesan kamar harga satu juta zonk menyesal mengecewakan,harga,negatif
extra kasur mahal,harga,negatif
tempat sejuk jauh bising panas kota,lokasi,positif
menu sarapan variasi masakan tradisional asia setaraf hotel bintang_lima puas,sarapan,positif
desain kamar baik melebih ekspektasi,kamar,positif
staff ramah lobi pintu masuk hotel,pelayanan,positif
staff hotel cantik cantik ganteng ganteng,pelayanan,positif
transportasi mudah,lokasi,positif
banyak variasi menu anak,sarapan,positif
keunggulan hotel dilengkapi empat buah bantal,kamar,positif
lobi resto panas hawanya seperti tidak_ada ac,sarapan,negatif
tidak_perlu bohong staff depan,pelayanan,negatif
harga cocok anggaran_rendah backpacker,harga,positif
lokasi prima pusat_kota dekat pusat perbelanjaan,lokasi,positif
sauna jacuzzi tutup,fasilitas,negatif
harga reasonable sesuai,harga,positif
hotelier ramah santun,pelayanan,positif
akses menuju lokasi jalan rusak belum_aspal,lokasi,negatif
harga tidak_membuat kantong jebol,harga,positif
villa harga ekonomis,harga,positif
tempat_parkir tidak_aman,fasilitas,negatif
resepsionis ramah,pelayanan,positif
menu sarapan hanya dua variasi,sarapan,negatif
checkin efisien cekatan mantap,pelayanan,positif
tempat nyaman backpacker,harga,positif
tidak_manusiawi satpam memperlakukan driver gojek antar makanan tamu,pelayanan,negatif
lokasi strategis suasa tenang,lokasi,positif
penanganan prokes baik merasa aman,pelayanan,positif
promo diskon,harga,positif
kamar memiliki aroma keharuman bunga khas,kamar,positif
kamar bersih,kamar,positif
dapat gratis fruit_bucket,harga,positif
lambat merespon permintaan tamu,pelayanan,negatif
amenities minim ac bocor lampu kedip tv kabel tidak_lengkap rcti tidak_ada,kamar,negatif
ayam opor juara,sarapan,positif
buah dikeliling binatang terbang,sarapan,negatif
jendela cukup besar,kamar,positif
suka interior kamar,kamar,positif
tidak_ramah datang checkin,pelayanan,negatif
pilihan makanan sarapan sedikit,sarapan,negatif
flush toilet macet,kamar,negatif
porsi sarapan disiapkan sedikit,sarapan,negatif
kamar sempit agak sumpek,kamar,negatif
letak oke,lokasi,positif
kamar_mandi nyaman ada shower bathtub,kamar,positif
handuk bau aneh,kamar,negatif
momen sarapan merusak semua mood,sarapan,negatif
kolam terlalu dingin,fasilitas,negatif
pembatalan secara sepihak membuat customer merasa dirugikan,pelayanan,negatif
lift tidak_bisa perbaikan,fasilitas,negatif
lokasi agak dalam jalan sempit ukuran bus,lokasi,negatif
hotel sedikit mahal,harga,negatif
kamar ramah anak,kamar,positif
sarapan nasi dingin sup tidak_hangat,sarapan,negatif
layout kamar modern compact,kamar,positif
suasana tenang jauh keramaian,lokasi,positif
kamar nyaman bantal besar empuk,kamar,positif
hotel jauh kota,lokasi,negatif
interior terkesan megah royal,fasilitas,positif
pelayanan patut diacungi jempol,pelayanan,positif
menu minim seadanya,sarapan,negatif
hotel berkelas,fasilitas,positif
menu makanan enak,sarapan,positif
kolam_renang baik,fasilitas,positif
unik ada jam jbl berfungsi wireless speaker alarm kamar,kamar,positif
minta air_panas harus bayar lima_ribu keterlaluan,harga,negatif
cermin besar dinding kamar favorit,kamar,positif
rooftop asik bersantai,fasilitas,positif
kamar_mandi tidak_berdekatan shower mandi kloset,kamar,positif
kamar artistik bersih,kamar,positif
ac berisik mengganggu tidur,kamar,negatif
harga cukup mahal tidak_ada wifi,harga,negatif
lokasi strategis dekat berpergian,lokasi,positif
koper patah dijatuhkan bell_boy,pelayanan,negatif
pelayanan paling utama,pelayanan,positif
handuk tidak_gratis harus sewa,harga,negatif
interior hotel minimalis manis,fasilitas,positif
resepsionis tidak_welcome agresif,pelayanan,negatif
lokasi tidak_ramah_anak orang_tua berbatu menanjak,lokasi,negatif
rasa asin ikan goreng tepung sayurnya,sarapan,negatif
terletak pusat_kota,lokasi,positif
masakan relatif bersih,sarapan,positif
order menu makan_siang gratis pengantaran gratis es_boba,harga,positif
senang hotel menyediakan fasilitas sewa motor,fasilitas,positif
ada deposit seratus_ribu jaminan apabila ada kerusakan,harga,negatif
kamar hotel provate balkon nilai tambah,kamar,positif
ada gratis makan_malam,harga,positif
linen tidak_diganti,kamar,negatif
lokasi cukup jauh jalan_jalan,lokasi,negatif
sarapan lengkap,sarapan,positif
lokasi tidak_nyaman,lokasi,negatif
sarapan ada tambahan_biaya,harga,negatif
diberi surprise gift cake,pelayanan,positif
sudut bawah meja kamar bersih tidak_debu,kamar,positif
beberapa spot hotel dalam tahap perbaikan,fasilitas,negatif
hotel nyaman daerah jalan_parangtritis,lokasi,positif
ruang spa tidak_berfungsi peralatan gym area rusak perlu diganti,fasilitas,negatif
pelayanan maksimal,pelayanan,positif
suasana berisik banyak kereta lewat,lokasi,negatif
lokasi dalam lorong,lokasi,negatif
kamar eksekutif luas bersih,kamar,positif
resto kecil tidak_bisa menampung semua tamu,sarapan,negatif
sulit cari makanan lokasi jalan jauh,lokasi,negatif
masakan tidak_enak,sarapan,negatif
pesan makanan harga cukup mahal,harga,negatif
harga segitu kualitas kurang,harga,negatif
kamar luas ada heater tea_corner kamar,kamar,positif
suka ramah_tamah,pelayanan,positif
berasa ada pedesaan adem ayem,lokasi,positif
harga murah sesuai ditawarkan,harga,positif
sayang lokasi penuh kemacetan pusat_kota,lokasi,negatif
kolam_renang buruk,fasilitas,negatif
tempat strategis dekat tempat_makan malioboro,lokasi,positif
kamar luas kamar besar empuk,kamar,positif
kamar menggunakan tv kabel,kamar,positif
kamar terlihat tua,kamar,negatif
kolam_renang banyak daun ngambang,fasilitas,negatif
lokasi masuk gang,lokasi,negatif
pengembalian uang deposit berteletele,pelayanan,negatif
lokasi jalan hotel bebatuan rusak,lokasi,negatif
tarif kamar tidak_ekonomis,harga,negatif
rasa mie_goreng sudah basi nasi ada basi,sarapan,negatif
staff tidak_profesional tidak_ada permintaan maaf,pelayanan,negatif
staff tidak_percaya memaksa mengecek masuk kamar_mandi,pelayanan,negatif
waffle enak,sarapan,positif
kualitas makanan lumayan baik,sarapan,positif
pemandangan nyaman,lokasi,positif
snack dijual murah,harga,positif
staff tidak_ramah apatis,pelayanan,negatif
lokasi menarik,lokasi,positif
baru bisa masuk kamar jam lima sore penuh,pelayanan,negatif
staff diam tidak_bantu,pelayanan,negatif
sarapan variasi makanan banyak,sarapan,positif
dapat memesan rental mobil pelayan,pelayanan,positif
menu makanan biasa menurutku,sarapan,negatif
checkout ditagih harga sarapan padahal tidak_sarapan,harga,negatif
staff tidak_berseragam,pelayanan,negatif
ternyata tidak_hanya dekat masjid jogokariyan juga dekat pusat perbelanjan superindo dekat atm spbu makanan rumahan,lokasi,positif
checkin checkout cepat,pelayanan,positif
sulit parkir,fasilitas,negatif
harga ekonomis ada promo,harga,positif
sarapan habis,sarapan,negatif
lampu kamar redup,kamar,negatif
jalan menuju lokasi melewati jalan sempit,lokasi,negatif
lokasi hotel strategis tempat_wisata hiburan tempat bersejarah jarak dapat dijangkau hotel,lokasi,positif
lift pengap tidak_ada pengharum ruangan,fasilitas,negatif
makanan sedikit anyep,sarapan,negatif
wifi tidak_berfungsi,fasilitas,negatif
handuk bersih,kamar,positif
remote tv sulit pindah saluran,kamar,negatif
kamar tidak_terawat baik,kamar,negatif
makanan seperti tidak_diberi garam,sarapan,negatif
ada kulkas dispenser,kamar,positif
kelebihan lokasi dekat tugu malioboro,lokasi,positif
kamar bersih suka amenitis menggunakan natasha,kamar,positif
cocok jalan_jalan hemat nginep sini,harga,positif
setiap kamar terdapat bathtub,kamar,positif
tidak_senyum,pelayanan,negatif
ulat ada gelas diminum,sarapan,negatif
sarapan lebih_baik warteg,sarapan,negatif
staff melempar menyalahkan agoda,pelayanan,negatif
tidak_puas pelayanan hotel,pelayanan,negatif
ada deposit dua_ratus_ribu,harga,negatif
tidak_ada sarapan,sarapan,negatif
kebetulan nginap ada promo dapat harga miring,harga,positif
genset hotel tidak_bisa nyala,fasilitas,negatif
pelayanan tetap profesional,pelayanan,positif
interior kamar perpaduan tradisional modern cantik,kamar,positif
staff ramah khas jogja,pelayanan,positif
staff murah senyum,pelayanan,positif
harga tidak_terjangkau tidak_termasuk sarapan,harga,negatif
rekomendasi anggaran_rendah,harga,positif
perlu cari chef menyajikan menu citarasa sesuai kelas bintang,sarapan,negatif
kamar karpet kecil harga mahal,harga,negatif
waffle juara umum,sarapan,positif
suasana tenang pedesaan,lokasi,positif
jalan masuk lokasi menantang,lokasi,negatif
akses kemana_mana mudah,lokasi,positif
kamar kotor lubang besar tirai handuk kotor selimut banyak noda,kamar,negatif
kamar_mandi bersih perlengkapan_mandi ada,kamar,positif
sepi seperti punya swiming kolam_renang pribadi,fasilitas,positif
tampak luar hotel sederhana,fasilitas,negatif
kolam_renang kotor banyak daun,fasilitas,negatif
kamar ada balkon berjemur,kamar,positif
fasilitas jacuzzi naik andong memancing,fasilitas,positif
hotel minimalis unik banyak lukisan dinding,fasilitas,positif
lokasi tenang,lokasi,positif
menu resto sarapan bisa dinikmati,sarapan,positif
ruang terbuka luas sejuk asri,lokasi,positif
baik harga segini,harga,positif
air_minum bayar,harga,negatif
sarapan enak tidak_bisa berhenti makan,sarapan,positif
tidak_semua kamar pemandangan baik,kamar,negatif
harga lima_ratus_ribu tidak_pas,harga,negatif
buah ada rasa pahit,sarapan,negatif
staff ramah siap dua_empat_jam,pelayanan,positif
medan arah penginapan jalan bebatuan belum_aspal,lokasi,negatif
sarapan enak lengkap auce,sarapan,positif
lokasi mendukung,lokasi,positif
harga rentang kamar naik signifikan,harga,negatif
ada dapur meja makan ruang_tamu,kamar,positif
letak jalan prawirotaman banyak tempat_makan dekat pasar,lokasi,positif
pintu_kamar sulit ditutup,kamar,negatif
gedung luar tampak tidak_menarik,fasilitas,negatif
nanjak tinggi jauh tempat_parkir,fasilitas,negatif
resepsionis ramah dibantu cari transport,pelayanan,positif
kamar debu,kamar,negatif
lokasi jauh masuk desa,lokasi,negatif
petunjuk jalan kecil,fasilitas,negatif
dapat harga epic diskon,harga,positif
harga ekonomis hemat kantong,harga,positif
lokasi masuk gang kecil sulit dicari,lokasi,negatif
suasana nyaman,lokasi,positif
harga oke murah,harga,positif
cocok menginap menunggu jadwal kereta,lokasi,positif
posisi gang sempit,lokasi,negatif
ada cafe tempat luas nyaman nuansa jawa,sarapan,positif
harga parkir setengah harga kamar,harga,negatif
hotel masuk gang,lokasi,negatif
lintas depan hotel padat,lokasi,negatif
lokasi pertokoan tidak_nyaman,lokasi,negatif
kolam_renang bar daya tarik pelancong,fasilitas,positif
pilihan makanan sarapan banyak,sarapan,positif
harusnya lebih_murah hotel bintang_satu,harga,negatif
dinding kamar tidak_kedap_suara,kamar,negatif
jalan menuju hotel jalan jauh,lokasi,negatif
satpam bantu,pelayanan,positif
early_checkin harus bayar tambahan_biaya,harga,negatif
harga dibayar tidak_sesuai fasilitas,harga,negatif
dispenser air kosong,sarapan,negatif
ruang_makan ada tempat duduk luar,sarapan,positif
sebelum jam sarapan habis staff beresin semua makanan,sarapan,negatif
ada western makanan indonesia,sarapan,positif
sekitaran kolam_renang anak licin,fasilitas,negatif
kondisi luar hotel desa kampung sulit cari makanan luar hotel,lokasi,negatif
lokasi hotel malam jalan gelap,lokasi,negatif
perlu bayar ekstra,harga,negatif
ac dingin amenities lengkap,kamar,positif
tidak_promo tidak_diskon,harga,negatif
promo keren murah seru,harga,positif
kamar nyaman tidak_bising terletak pusat_kota dekat pusat_kota,lokasi,positif
hotel rekomendasi pelancong,harga,positif
kemana_mana jauh,lokasi,negatif
mbak ariana staff restoran salah_satu staff super ramah,pelayanan,positif
ada wedang jahe kopi mie godok chef,sarapan,positif
menu tidak_prasmanan tidak_bebas pilih,sarapan,negatif
lebih_murah langsung reservasi via call_center,harga,positif
wifi lambat suka terputus,fasilitas,negatif
kondisi pandemi menu sarapan lengkap,sarapan,positif
pelayanan front_office cepat,pelayanan,positif
suasana sejuk terseret ruang waktu kembali jaman kerajaan jawa tempo,lokasi,positif
dekorasi kamar adat jawa dilengkapi bathtub sabun shampoo krim,kamar,positif
nasi keras dikunyah,sarapan,negatif
kamar nyaman bersih kamar_mandi bersih,kamar,positif
gratis sarapan anak,harga,positif
mobil pecah dibantu sampai selesai,pelayanan,positif
menu buka_puasa sajikan promosikan tidak_sama,sarapan,negatif
samping hotel ada food centrum,lokasi,positif
memiliki banyak saluran tv,kamar,positif
perlengkapan_mandi ada lengkap,kamar,positif
air kamar_mandi bau,kamar,negatif
access card kamar tidak_berfungsi,kamar,negatif
depan hotel ada tempat_makan resto,lokasi,positif
menuju hotel jalan kecil,lokasi,negatif
staff kolam_renang galak tidak_ramah,pelayanan,negatif
lobi hotel mewah lantai dinding full granit kaca,fasilitas,positif
kamar sempit sholat,kamar,negatif
lorong hotel bersih wangi full karpet,fasilitas,positif
sarapan bersih enak,sarapan,positif
checkin lama tunggu satu jam,pelayanan,negatif
malam minggu ada bbq umum harga cocok murah,harga,positif
harga tambah kasur dua_ratus_ribu mahal dibanding lain,harga,negatif
hotel wow harga promo murah terus promo diskon,harga,positif
sarapan cepat habis,sarapan,negatif
tidak_ada cafe live_music,fasilitas,negatif
rasa asin lidah,sarapan,negatif
titik lokasi maps melenceng,lokasi,negatif
menu sarapan makan_malam enak,sarapan,positif
saat masuk sambut jamuan hangat nuansa budata kental,pelayanan,positif
harga terjangkau backapacker,harga,positif
harga mahal,harga,negatif
tampak depan terlihat enak rapi dilihat luar,fasilitas,positif
sarapan variasi,sarapan,positif
taman ada spot foto becak dokar,fasilitas,positif
kecewa sarapan anak bayar,harga,negatif
harga bayar langsung lebih_mahal,harga,negatif
tidak_ada cermin rias dalam kamar,kamar,negatif
tidak_diragukan fasilitas,fasilitas,positif
harga termasuk pajak pelayanan,harga,positif
termasuk harga sewa kamar,harga,positif
lokasi dekat kampus dekat hartono_mall,lokasi,positif
rasa mie biasa,sarapan,negatif
sarapan biasa,sarapan,negatif
suasana sunyi jadi bisa rileks bisa menuangkan ide kamar,lokasi,positif
pembayaran mudah bisa bayar debit,harga,positif
amenities lengkap perabot kualitas tinggi,kamar,positif
hotel satu gedung mall,fasilitas,positif
makanan habis lambat refill,pelayanan,negatif
tidak_punya standar pelayanan,pelayanan,negatif
staff tidak_ramah,pelayanan,negatif
sedikit pilihan menu makanan,sarapan,negatif
harga murah tempat mewah premium,harga,positif
coba angkringannya,sarapan,positif
menikmati fasilitas ballroom lengkap,fasilitas,positif
handuk kotor,kamar,negatif
tidak_ada tempat ibadah sholat,kamar,negatif
harga relatif murah nyaman kantong,harga,positif
hotel angkat tema industrial,fasilitas,positif
fasilitas hotel parah mengecewakan,fasilitas,negatif
sarapan kehabisan gas,sarapan,negatif
dekat tugu yogja,lokasi,positif
dapat upgrade_kamar gratis pihak hotel,harga,positif
staff berdandan baik,pelayanan,positif
alat_makanan seperti warteg,sarapan,negatif
kesulitan waktu cari lokasi hotel berada kompleks ruko,lokasi,negatif
perlu tingkatkan keramahan staff,pelayanan,negatif
nyaman bersih makanan enak,sarapan,positif
makanan ada rambut,sarapan,negatif
resepsionis tidak_informasi detail,pelayanan,negatif
toilet parkir luar kumuh,fasilitas,negatif
lift nunggu lama,fasilitas,negatif
upgrade_kamar mahal,harga,negatif
handuk putih warna jadi kuning,kamar,negatif
pintu tembok kamar perlu perbaikan dibersihkan,kamar,negatif
kamar kedap_suara,kamar,positif
harga cocok backpacker,harga,positif
sarapan ada menu jajanan_pasar khas jogja,sarapan,positif
jauh toko,lokasi,negatif
harga tidak_oke,harga,negatif
suara musik rooftop bar tengah malam terdengar,fasilitas,negatif
pelayanan staff tidak_beri handuk kolam_renang,pelayanan,negatif
posisi bangunan hotel menempel jalan tidak_memungkinkan membawa mobil,lokasi,negatif
hotel tenang jauh keramaian lalu_lintas,lokasi,positif
harga tidak_reasonable,harga,negatif
lokasi sulit dilalui mobil,lokasi,negatif
makanan tidak_selera,sarapan,negatif
massage murah,harga,positif
lokasi strategis tempat perbelanjaan rumah_sakit kuliner wisata,lokasi,positif
ada kulkas,kamar,positif
kolam_renang luas pemandangan keren,fasilitas,positif
rasa nasgor seperti hanya diberi bumbu instan,sarapan,negatif
bangunan hotel baik,fasilitas,positif
hujan kamar rembes,kamar,negatif
staff perlu diberi pelatihan sedikit,pelayanan,negatif
harga mahal membuat kantong jebol,harga,negatif
menu sarapan enak variasi,sarapan,positif
bayar tidak_termasuk sarapan,harga,negatif
suka sama lokasi,lokasi,positif
harga makanan tidak_bersahabat,harga,negatif
hotel cocok acara wedding ulang_tahung gathering,fasilitas,positif
interior kamar bagus penataan modern,kamar,positif
menu sahur enak,sarapan,positif
perbaiki gym center kolam_renang,fasilitas,negatif
harga masih oke,harga,positif
sarapan biasa,sarapan,negatif
amenities ada pencukur kumis,kamar,positif
alat_mandi hanya dapat satu sabun,kamar,negatif
datang tidak_sambut,pelayanan,negatif
kamar cukup nyaman luas,kamar,positif
lingkungan asri penuh pepohonan,fasilitas,positif
naik shuttle bandara harus bayar lima_ribu,harga,negatif
jalan masuk sempit mobil,lokasi,negatif
waktu checkin kamar lama menunggu,pelayanan,negatif
kotak tempat taruh kunci menyalakan listrik tidak_otomatis,kamar,negatif
hidangan nikmat dihidangkan hangat,sarapan,positif
sprei selimut tidak_diganti,kamar,negatif
ac lama dingin tiga_puluh menit,kamar,negatif
kamar_mandi cukup bagus bersih kondisi shower baik,kamar,positif
kamar bangsal bau fasilititas usang rusak,kamar,negatif
lokasi buruk menggunakan mobil,lokasi,negatif
tidak_ada exhaust,kamar,negatif
staff tidak_memakai sepatu,pelayanan,negatif
rugi bayar mahal,harga,negatif
menu sarapan pelit,sarapan,negatif
harga baik murah sesuai,harga,positif
suasana asri,fasilitas,positif
hotel berada lokasi sulit diketahui,lokasi,negatif
desain kamar minimalis sederhana,kamar,positif
oke harga dua_ratus_ribu,harga,positif
lokasi dekat itc bantu perjalanan bisnis,lokasi,positif
setiap butuh langsung secepatnya disiapkan pihak hotel,pelayanan,positif
kualitas kamar kamar_mandi tidak_nyaman,kamar,negatif
jauh tempat_kuliner,lokasi,negatif
lobi panas,fasilitas,negatif
dekat pusat_kota,lokasi,positif
ada menu gudeg khas jogja,sarapan,positif
memiliki desain interior eksterior cantik,fasilitas,positif
ruang_rapat nyaman,fasilitas,positif
harga mahal tidak_sesuai,harga,negatif
staff ramah selalu mengingatkan prokes memakai masker,pelayanan,positif
jalan satu arah mau tidak_mau harus lewat kemacetan,lokasi,negatif
hotel nyaman strategis,lokasi,positif
layanan hebat staff,pelayanan,positif
tidak_ada staff bantu menurunkan barang,pelayanan,negatif
susu basi,sarapan,negatif
satpam tidak_ramah,pelayanan,negatif
hotel luas nuansa candi,fasilitas,positif
makanan menu komposisi tidak_pas,sarapan,negatif
pemandangan lumayan bagus,lokasi,positif
hotel tengah perumahan balik bukit suasana adem tentram,lokasi,positif
staff membantu mencari lokasi meja kosong,pelayanan,positif
wifi tidak_bisa diakses,fasilitas,negatif
bangunan usang,fasilitas,negatif
bau kamar harus bikin tidur nyaman,kamar,positif
suara cafe terlalu keras,sarapan,negatif
coba mengikuti petunjuk maps tidak_akurat,lokasi,negatif
posisi hotel berada komplek perumahan dalam,lokasi,negatif
area lobi gelap,fasilitas,negatif
pindah kamar dapat upgrade,pelayanan,positif
colokan hanya satu bawah tv,kamar,negatif
sesuai harga ramah_kantong pelancong,harga,positif
salut respon cepat satpam,pelayanan,positif
makanan atas ekspektasi,sarapan,positif
interior kamar minimalis unik,kamar,positif
early_checkin ada tambahan_biaya,harga,negatif
front_office tidak_dua_empat_jam,pelayanan,negatif
tidak_ada handuk keset,kamar,negatif
kamar_mandi ada cacing kelabang,kamar,negatif
suasana nyaman sejuk mengurangi polusi,lokasi,positif
kamar tidak_kedap_suara,kamar,negatif
suasana asik,lokasi,positif
dekat tugu,lokasi,positif
referensi resort cocok liburan pas kantong,harga,positif
dapat harga murah pakai voucher,harga,positif
enak roti gandum,sarapan,positif
harga mahal tidak_sesuai porsi rasa,harga,negatif
menawarkan beragam pilihan anggur ceruutu intenasional,sarapan,positif
ballroom luas cocok acara konser ulang_tahun acara besar,fasilitas,positif
